parcela,año,Especie,fun_group,abundancia,abundancia_std,area_total_ha,area_somera_ha,area_profunda_ha
A1,2019,Recurvirostra avosetta,wader_mid,15,0.00121951219512195,57.42,4.95,52.47
A1,2019,Spatula clypeata,duck_dabb,470,0.0094,57.42,4.95,52.47
A1,2020,Anas acuta,duck_dabb,284,0.00556862745098039,59.13,5.85,53.28
A1,2020,Anas platyrhynchos,duck_dabb,570,0.057,59.13,5.85,53.28
A1,2020,Aythya ferina,duck_dive,210,0.021,59.13,5.85,53.28
A1,2020,Himantopus himantopus,wader_mid,88,0.01353846153846154,59.13,5.85,53.28
A1,2020,Limosa limosa,wader_mid,57,0.0019,59.13,5.85,53.28
A1,2020,Mareca penelope,duck_dabb,240,0.0120961645078373,59.13,5.85,53.28
A1,2020,Mareca strepera,duck_dabb,28,0.0112,59.13,5.85,53.28
A1,2020,Netta rufina,duck_dive,130,0.01688311688311688,59.13,5.85,53.28
A1,2020,Oxyura leucocephala,duck_dive,37,0.11635220125786164,59.13,5.85,53.28
A1,2020,Phoenicopterus roseus,wader_deep,350,0.00996327820319394,59.13,5.85,53.28
A1,2020,Platalea leucorodia,wader_deep,26,0.05752212389380531,59.13,5.85,53.28
A1,2020,Plegadis falcinellus,wader_deep,10,8.022462896109105e-4,59.13,5.85,53.28
A1,2020,Recurvirostra avosetta,wader_mid,62,0.00504065040650406,59.13,5.85,53.28
A1,2020,Spatula clypeata,duck_dabb,950,0.019,59.13,5.85,53.28
A1,2020,Tadorna tadorna,duck_dabb,38,0.00365384615384615,59.13,5.85,53.28
A1,2020,Tringa totanus,wader_shall,5,0.00875656742556917,59.13,5.85,53.28
A1,2021,Anas platyrhynchos,duck_dabb,160,0.016,54.27,10.62,43.65
A1,2021,Himantopus himantopus,wader_mid,65,0.01,54.27,10.62,43.65
A1,2021,Phoenicopterus roseus,wader_deep,200,0.00569330183039653,54.27,10.62,43.65
A1,2021,Recurvirostra avosetta,wader_mid,70,0.0056910569105691,54.27,10.62,43.65
A1,2021,Spatula clypeata,duck_dabb,5300,0.106,54.27,10.62,43.65
A1,2021,Tadorna tadorna,duck_dabb,9,8.653846153846154e-4,54.27,10.62,43.65
A1,2021,Tringa erythropus,wader_mid,1,0.00125,54.27,10.62,43.65
A1,2021,Tringa totanus,wader_shall,13,0.02276707530647986,54.27,10.62,43.65
A1,2022,Anas acuta,duck_dabb,850,0.01666666666666666,55.26,11.7,43.56
A1,2022,Anas platyrhynchos,duck_dabb,170,0.017,55.26,11.7,43.56
A1,2022,Aythya ferina,duck_dive,115,0.0115,55.26,11.7,43.56
A1,2022,Mareca penelope,duck_dabb,165,0.00831611309913814,55.26,11.7,43.56
A1,2022,Phoenicopterus roseus,wader_deep,420,0.01195593384383273,55.26,11.7,43.56
A1,2022,Platalea leucorodia,wader_deep,4,0.00884955752212389,55.26,11.7,43.56
A1,2022,Spatula clypeata,duck_dabb,7200,0.144,55.26,11.7,43.56
A1,2023,Actitis hypoleucos,wader_shall,2,0.1111111111111111,58.32,5.4,52.92
A1,2023,Anas acuta,duck_dabb,260,0.00509803921568627,58.32,5.4,52.92
A1,2023,Anas crecca,duck_dabb,20,0.001,58.32,5.4,52.92
A1,2023,Anas platyrhynchos,duck_dabb,180,0.018,58.32,5.4,52.92
A1,2023,Himantopus himantopus,wader_mid,20,0.00307692307692307,58.32,5.4,52.92
A1,2023,Mareca penelope,duck_dabb,50,0.0025200342724661,58.32,5.4,52.92
A1,2023,Marmaronetta angustirostris,duck_dabb,2,0.00222222222222222,58.32,5.4,52.92
A1,2023,Oxyura leucocephala,duck_dive,6,0.01886792452830188,58.32,5.4,52.92
A1,2023,Phoenicopterus roseus,wader_deep,37,0.00105326083862335,58.32,5.4,52.92
A1,2023,Platalea leucorodia,wader_deep,8,0.01769911504424778,58.32,5.4,52.92
A1,2023,Spatula clypeata,duck_dabb,840,0.0168,58.32,5.4,52.92
A1,2024,Anas platyrhynchos,duck_dabb,36,0.0036,59.4,4.86,54.54
A1,2024,Aythya ferina,duck_dive,12,0.0012,59.4,4.86,54.54
A1,2024,Himantopus himantopus,wader_mid,12,0.00184615384615384,59.4,4.86,54.54
A1,2024,Mareca strepera,duck_dabb,5,0.002,59.4,4.86,54.54
A1,2024,Netta rufina,duck_dive,6,7.792207792207792e-4,59.4,4.86,54.54
A1,2024,Oxyura leucocephala,duck_dive,11,0.03459119496855346,59.4,4.86,54.54
A1,2024,Phoenicopterus roseus,wader_deep,260,0.0074012923795155,59.4,4.86,54.54
A1,2024,Platalea leucorodia,wader_deep,3,0.00663716814159292,59.4,4.86,54.54
A1,2024,Plegadis falcinellus,wader_deep,3,2.4067388688327315e-4,59.4,4.86,54.54
A1,2024,Tringa totanus,wader_shall,2,0.00350262697022767,59.4,4.86,54.54
A1,2025,Actitis hypoleucos,wader_shall,1,0.05555555555555555,60.21,5.49,54.72
A1,2025,Anas platyrhynchos,duck_dabb,68,0.0068,60.21,5.49,54.72
A1,2025,Aythya ferina,duck_dive,540,0.054,60.21,5.49,54.72
A1,2025,Himantopus himantopus,wader_mid,12,0.00184615384615384,60.21,5.49,54.72
A1,2025,Mareca penelope,duck_dabb,39,0.00196562673252356,60.21,5.49,54.72
A1,2025,Mareca strepera,duck_dabb,8,0.0032,60.21,5.49,54.72
A1,2025,Netta rufina,duck_dive,15,0.00194805194805194,60.21,5.49,54.72
A1,2025,Oxyura leucocephala,duck_dive,33,0.10377358490566038,60.21,5.49,54.72
A1,2025,Phoenicopterus roseus,wader_deep,125,0.00355831364399783,60.21,5.49,54.72
A1,2025,Platalea leucorodia,wader_deep,4,0.00884955752212389,60.21,5.49,54.72
A1,2025,Plegadis falcinellus,wader_deep,1,8.022462896109105e-5,60.21,5.49,54.72
A2,2005,Actitis hypoleucos,wader_shall,9,0.5,44.19,7.92,36.27
A2,2005,Anas crecca,duck_dabb,70,0.0035,44.19,7.92,36.27
A2,2005,Anas platyrhynchos,duck_dabb,350,0.035,44.19,7.92,36.27
A2,2005,Anser anser,grazer,9,2.0454545454545457e-4,44.19,7.92,36.27
A2,2005,Himantopus himantopus,wader_mid,300,0.04615384615384615,44.19,7.92,36.27
A2,2005,Limosa limosa,wader_mid,350,0.01166666666666666,44.19,7.92,36.27
A2,2005,Phoenicopterus roseus,wader_deep,240,0.00683196219647584,44.19,7.92,36.27
A2,2005,Platalea leucorodia,wader_deep,3,0.00663716814159292,44.19,7.92,36.27
A2,2005,Recurvirostra avosetta,wader_mid,351,0.02853658536585366,44.19,7.92,36.27
A2,2005,Spatula clypeata,duck_dabb,150,0.003,44.19,7.92,36.27
A2,2006,Anas platyrhynchos,duck_dabb,20,0.002,46.71,7.92,38.79
A2,2006,Aythya ferina,duck_dive,160,0.016,46.71,7.92,38.79
A2,2006,Calidris alpina,wader_shall,10,3.703703703703703e-4,46.71,7.92,38.79
A2,2006,Himantopus himantopus,wader_mid,240,0.03692307692307692,46.71,7.92,38.79
