parcela,año,Especie,fun_group,abundancia,abundancia_std
A1,2018,Phoenicopterus roseus,wader_deep,850,0.02419653277918529
A1,2018,Platalea leucorodia,wader_deep,42,0.09292035398230089
A1,2018,Recurvirostra avosetta,wader_mid,160,0.013008130081300813
A1,2018,Spatula clypeata,duck_dabb,158,0.00316
A1,2019,Anas acuta,duck_dabb,90,0.0017647058823529412
A1,2019,Anas crecca,duck_dabb,36,0.0018
A1,2019,Anas platyrhynchos,duck_dabb,658,0.0658
A1,2019,Aythya ferina,duck_dive,350,0.035
A1,2019,Gallinago gallinago,wader_shall,3,0.004754358161648178
A1,2019,Himantopus himantopus,wader_mid,395,0.06076923076923077
A1,2019,Mareca penelope,duck_dabb,240,0.012096164507837306
A1,2019,Mareca strepera,duck_dabb,20,0.008
A1,2019,Netta rufina,duck_dive,120,0.015584415584415584
A1,2019,Oxyura leucocephala,duck_dive,15,0.04716981132075472
A1,2019,Phoenicopterus roseus,wader_deep,227,0.0064618975775000715
A1,2019,Platalea leucorodia,wader_deep,46,0.10176991150442478
A1,2019,Plegadis falcinellus,wader_deep,16,0.0012835940633774568
A1,2019,Recurvirostra avosetta,wader_mid,15,0.0012195121951219512
A1,2019,Spatula clypeata,duck_dabb,470,0.0094
A1,2020,Anas acuta,duck_dabb,284,0.005568627450980392
A1,2020,Anas platyrhynchos,duck_dabb,570,0.057
A1,2020,Aythya ferina,duck_dive,210,0.021
A1,2020,Himantopus himantopus,wader_mid,88,0.01353846153846154
A1,2020,Limosa limosa,wader_mid,57,0.0019
A1,2020,Mareca penelope,duck_dabb,240,0.012096164507837306
A1,2020,Mareca strepera,duck_dabb,28,0.0112
A1,2020,Netta rufina,duck_dive,130,0.016883116883116882
A1,2020,Oxyura leucocephala,duck_dive,37,0.11635220125786164
A1,2020,Phoenicopterus roseus,wader_deep,350,0.009963278203193942
A1,2020,Platalea leucorodia,wader_deep,26,0.05752212389380531
A1,2020,Plegadis falcinellus,wader_deep,10,8.022462896109105e-4
A1,2020,Recurvirostra avosetta,wader_mid,62,0.0050406504065040655
A1,2020,Spatula clypeata,duck_dabb,950,0.019
A1,2020,Tadorna tadorna,duck_dabb,38,0.003653846153846154
A1,2020,Tringa totanus,wader_shall,5,0.008756567425569177
A1,2021,Anas platyrhynchos,duck_dabb,160,0.016
A1,2021,Himantopus himantopus,wader_mid,65,0.01
A1,2021,Phoenicopterus roseus,wader_deep,200,0.005693301830396538
A1,2021,Recurvirostra avosetta,wader_mid,70,0.005691056910569106
A1,2021,Spatula clypeata,duck_dabb,5300,0.106
A1,2021,Tadorna tadorna,duck_dabb,9,8.653846153846154e-4
A1,2021,Tringa erythropus,wader_mid,1,0.00125
A1,2021,Tringa totanus,wader_shall,13,0.02276707530647986
A1,2022,Anas acuta,duck_dabb,850,0.016666666666666666
A1,2022,Anas platyrhynchos,duck_dabb,170,0.017
A1,2022,Aythya ferina,duck_dive,115,0.0115
A1,2022,Mareca penelope,duck_dabb,165,0.008316113099138149
A1,2022,Phoenicopterus roseus,wader_deep,420,0.011955933843832731
A1,2022,Platalea leucorodia,wader_deep,4,0.008849557522123894
A1,2022,Spatula clypeata,duck_dabb,7200,0.144
