año,fun_group,mediana_abundancia_anual,humedad_media_regional
2018,duck_dabb,0.00846731515548611,98.88874371859296
2018,duck_dive,0.0169,73.6353947368421
2018,grazer,0.005170454545454541,255.38400000000001
2018,wader_deep,0.01548672566371681,141.2581188118812
2018,wader_mid,0.01015384615384615,131.35670886075948
2018,wader_shall,0.02209944751381215,390.23242990654205
2019,duck_dabb,0.0084,87.87796208530806
2019,duck_dive,0.01298701298701298,69.1927397260274
2019,grazer,3.181818181818182e-4,184.573125
2019,wader_deep,0.0074012923795155,103.46947826086956
2019,wader_mid,0.0065040650406504,129.1548
2019,wader_shall,0.018130587683239104,249.20642857142857
2020,duck_dabb,0.0078,78.56197183098591
2020,duck_dive,0.0179,74.55315789473684
2020,grazer,6.590909090909091e-4,187.54000000000002
2020,wader_deep,0.01110193856927325,113.48689655172414
2020,wader_mid,0.004,121.40225806451613
2020,wader_shall,0.020247048171621797,209.660625
2021,duck_dabb,0.005171236328814071,76.18642105263157
2021,duck_dive,0.01572327044025157,68.91130434782609
2021,grazer,0.00185227272727272,59.4225
2021,wader_deep,0.00622216800429869,81.55549180327868
2021,wader_mid,0.00443026891807379,97.53
2021,wader_shall,0.01401050788091068,114.71576687116564
2022,duck_dabb,0.005,71.07634285714286
2022,duck_dive,0.0068,67.03524590163934
2022,grazer,7.954545454545455e-4,23.245714285714286
2022,wader_deep,0.007073927524267695,77.6895
2022,wader_mid,0.004491869918699185,90.20965909090908
2022,wader_shall,0.01137770468781758,112.698
2023,duck_dabb,0.0028031261994393847,70.30235294117647
2023,duck_dive,0.00532467532467532,57.998360655737706
2023,grazer,0.001693181818181815,52.035
2023,wader_deep,0.00825528765407498,78.17574626865671
2023,wader_mid,0.00276923076923076,91.82820895522389
2023,wader_shall,0.01109350237717908,97.91459016393442
2024,duck_dabb,0.004568030845219495,89.13844660194175
2024,duck_dive,0.012,72.90195652173914
2024,grazer,3.636363636363636e-4,11.52
2024,wader_deep,0.00831222067237894,80.54297872340426
2024,wader_mid,0.00674186991869918,95.04679245283019
2024,wader_shall,0.0125219683655536,112.34222891566264
2025,duck_dabb,0.00426702913159619,83.76078947368421
2025,duck_dive,0.01595,67.39372340425531
2025,grazer,0.00106818181818181,17.29
2025,wader_deep,0.01067494093199351,90.70945945945945
2025,wader_mid,0.00426328955597248,96.48548780487805
2025,wader_shall,0.027701043585021477,136.94642857142856
