parcela,año,valor_medio_MNDWI,Ratio_Inundacion_Total,count_seco,count_vegetal,count_verde,count_azul,ratio_seco,ratio_vegetal,ratio_verde,ratio_azul
E3,2005,0.5393916601340579,0.6684636118598383,75,48,54,194,0.20215633423180593,0.1293800539083558,0.14555256064690028,0.522911051212938
E4,2005,0.6058333520387408,0.7110754414125201,88,92,66,377,0.14125200642054575,0.1476725521669342,0.10593900481540931,0.6051364365971108
D6,2005,0.5711176294998599,0.7079207920792079,156,80,100,472,0.19306930693069307,0.09900990099009901,0.12376237623762376,0.5841584158415841
C5,2005,0.6796699935628674,0.7807606263982103,224,70,92,955,0.16703952274422074,0.05219985085756898,0.0686055182699478,0.7121551081282624
D4,2005,0.6984784041019917,0.7882547559966915,134,122,76,877,0.11083540115798181,0.10090984284532671,0.06286186931348221,0.7253928866832092
D3,2005,0.6783201932928498,0.8103975535168195,103,83,110,685,0.10499490316004077,0.08460754332313965,0.11213047910295616,0.6982670744138634
C3,2005,0.51909933083665,0.63229078613694,351,84,59,689,0.2967032967032967,0.07100591715976332,0.049873203719357564,0.5824175824175825
C2,2005,0.42539444873904486,0.5632530120481928,295,140,125,436,0.2961847389558233,0.14056224899598393,0.12550200803212852,0.43775100401606426
C0,2005,0.37954441126732,0.5386100386100386,171,68,90,189,0.3301158301158301,0.13127413127413126,0.17374517374517376,0.36486486486486486
Almajal-Perimetro-Pasto,2005,-0.3642455445095392,0.0024240190519392154,70174,199,134,37,0.994755046495804,0.0028209344522567474,0.001899523701519619,5.244953504195963e-4
La Dehesilla,2005,0.5897939822542504,0.7875658161198866,527,522,1278,2611,0.1067233697853382,0.10571081409477522,0.25880923450789795,0.5287565816119887
San Carlos,2005,-0.030889673809041462,0.21505989731888192,1253,123,92,285,0.7147746719908727,0.07016543069024529,0.052481460353679406,0.16257843696520252
Santa Teresa,2005,0.49691487314827626,0.6627231216272312,1420,205,372,2821,0.294728102947281,0.04254877542548775,0.07721046077210461,0.5855126608551267
Los Portugueses,2005,0.6098909641979745,0.7905244810648074,514,808,1538,3451,0.08144509586436381,0.1280304230708287,0.24370147361749325,0.5468230074473143
Los Riacheros,2005,-0.2954406707772208,0.0076465590484282074,1158,10,9,0,0.983857264231096,0.008496176720475786,0.0076465590484282074,0
Laguna del Tarelo,2005,0.4110244901266958,0.6590909090909091,62,28,91,83,0.23484848484848486,0.10606060606060606,0.3446969696969697,0.3143939393939394
Marisma de Henares,2005,-0.24301786372812695,0.0630943931866572,12868,333,412,477,0.9132718239886445,0.023633782824698368,0.02924059616749468,0.033853797019162524
Lagunas de Bonanza,2005,-0.11560535168889773,0.014084507042253521,56,14,1,0,0.7887323943661971,0.19718309859154928,0.014084507042253521,0
Guadiamar encauzado,2006,-0.03697251311143196,5.753739930955121e-4,4668,2280,4,0,0.6714614499424626,0.32796317606444186,5.753739930955121e-4,0
Lucios FAO,2006,0.5513337297736083,0.706408345752608,82,115,121,353,0.12220566318926974,0.17138599105812222,0.18032786885245902,0.526080476900149
Lucio del Lobo Grande,2006,0.819522677878201,0.921537229783827,52,46,90,1061,0.041633306645316254,0.03682946357085669,0.07205764611689351,0.8494795836669335
Marisma gallega,2006,-0.2519839105561626,0,23113,994,0,0,0.95876716306467,0.04123283693532999,0,0
Laguna de los Mimbrales,2006,-0.40670521389518954,0,13,0,0,0,1,0,0,0
Laguna de Santa Olalla,2006,-0.02392727081637257,0.31528662420382164,355,75,141,57,0.5652866242038217,0.11942675159235669,0.22452229299363058,0.09076433121019108
Caracoles Oeste,2006,-0.28438737441356826,0,19484,442,0,0,0.9778179263274114,0.02218207367258858,0,0
Lucio del Cuquero Grande,2006,0.7943234151224179,0.9243027888446215,83,50,74,1550,0.04723961297666477,0.028457598178713718,0.0421172453044963,0.8821855435401252
Esparragosilla,2006,0.43857464773588944,0.5451697127937337,639,232,185,859,0.33368146214099215,0.12114882506527415,0.09660574412532637,0.4485639686684073
Gaveta 1,2006,0.7123430261873089,0.8148514851485148,203,171,172,1474,0.1004950495049505,0.08465346534653466,0.08514851485148515,0.7297029702970297
Arrozal del italiano,2006,-0.21511968250525623,1.4387454139989928e-4,13786,113,2,0,0.9917272138695058,0.00812891158909431,1.4387454139989928e-4,0
Lucio del Cuquero Chico,2006,-0.08952981464962113,0.08758832155712572,6234,610,423,234,0.8310891881082523,0.08132249033462205,0.056392481002532996,0.03119584055459272
Pajas (Acebuche),2006,-0.5948897318494227,0,230,0,0,0,1,0,0,0
La Rocina,2006,-0.1832353554232472,0.12183908045977011,345,37,43,10,0.7931034482758621,0.08505747126436781,0.09885057471264368,0.022988505747126436
Hato Blanco nuevo,2006,-0.14865007807089886,0,12830,3161,0,0,0.8023263085485586,0.19767369145144142,0,0
Hato Blanco viejo,2006,-8.171682221972431e-4,0.14210526315789473,3624,2081,860,85,0.5449624060150376,0.3129323308270677,0.1293233082706767,0.012781954887218045
Caracoles Este,2006,-0.28254117439911386,0.0012920622436941745,16053,1725,23,0,0.9018032694792427,0.09690466827706308,0.0012920622436941745,0
Entremuros zona 1,2006,-0.3129017817156739,0.01460789338800615,7498,192,92,22,0.9607893388006151,0.02460276781137878,0.011788826242952332,0.0028190671450538185
Entremuros zona 2,2006,-0.3678105556075687,0.0017820773930753565,7738,104,13,1,0.984979633401222,0.013238289205702648,0.001654786150712831,1.2729124236252545e-4
Entremuros zona 3,2006,-0.29968558454406447,0.07293447293447293,6357,151,227,285,0.9055555555555556,0.02150997150997151,0.03233618233618234,0.0405982905982906
Entremuros zona 4,2006,-0.4513847035095451,2.346316283435007e-4,4239,22,1,0,0.9946034725480994,0.005161895823557016,2.346316283435007e-4,0
Entremuros zona 5,2006,-0.5157518206219376,0,4942,0,0,0,1,0,0,0
"Brazo de la Torre, Parque Natural",2006,-0.3571093050581013,0,3357,7,0,0,0.9979191438763377,0.002080856123662307,0,0
Veta Adalid,2006,-0.26964224305465156,0.0028979907264296756,10079,243,30,0,0.97362828438949,0.02347372488408037,0.0028979907264296756,0
Cantarita,2006,0.11147164540753104,0.2216263112232826,20241,9366,6465,1965,0.5321397586560455,0.246233930120672,0.1699660856534427,0.051660225569839895
Gaveta 4,2006,0.7994252815167914,0.905223880597015,69,58,100,1113,0.05149253731343283,0.04328358208955224,0.07462686567164178,0.8305970149253732
Gaveta 2,2006,0.6869006021279298,0.7822520507084265,146,146,132,917,0.10887397464578673,0.10887397464578673,0.09843400447427293,0.6838180462341537
B5,2006,0.6244042297965623,0.7216796875,168,117,73,666,0.1640625,0.1142578125,0.0712890625,0.650390625
Gaveta 3,2006,0.725663911078701,0.8264462809917356,117,93,91,909,0.09669421487603305,0.0768595041322314,0.07520661157024794,0.7512396694214876
